"DATE","GDP_PERCAPITA","INFLATION"
1948-01-01,14316,8.83257
1948-04-01,14495,9.01106
1948-07-01,14515,8.47784
1948-10-01,14464,4.5258
1949-01-01,14202,1.3832
1949-04-01,14098,-0.31953
1949-07-01,14182,-2.78727
1949-10-01,13999,-2.12355
1950-01-01,14490,-1.48963
1950-04-01,14879,-0.62718
1950-07-01,15388,2.052
1950-10-01,15612,4.36743
1951-01-01,15759,8.94573
1951-04-01,15968,9.17251
1951-07-01,16223,7.14778
1951-10-01,16181,6.57397
1952-01-01,16288,2.80192
1952-04-01,16259,2.08119
1952-07-01,16306,2.82776
1952-10-01,16765,1.44395
1953-01-01,17013,0.76972
1953-04-01,17082,0.88095
1953-07-01,16908,0.6625
1953-10-01,16574,0.72419
1954-01-01,16425,1.25219
1954-04-01,16376,0.71108
1954-07-01,16485,-0.01242
1954-10-01,16726,-0.49585
1955-01-01,17132,-0.59362
1955-04-01,17341,-0.5698
1955-07-01,17496,-0.23597
1955-10-01,17516,0.37374
1956-01-01,17376,0.24882
1956-04-01,17449,1.04647
1956-07-01,17352,2.01668
1956-10-01,17550,2.58161
1957-01-01,17583,3.41276
1957-04-01,17473,3.61238
1957-07-01,17566,3.46553
1957-10-01,17305,3.0853
1958-01-01,16793,3.45614
1958-04-01,16839,3.27225
1958-07-01,17154,2.2998
1958-10-01,17475,1.91315
1959-01-01,17734,0.89317
1959-04-01,18064,0.39175
1959-07-01,18000,0.96841
1959-10-01,17972,1.47414
1960-01-01,18268,1.39112
1960-04-01,18060,1.82486
1960-07-01,18059,1.35876
1960-10-01,17756,1.39598
1961-01-01,17816,1.50811
1961-04-01,18049,0.8679
1961-07-01,18319,1.20536
1961-10-01,18598,0.70517
1962-01-01,18863,0.89366
1962-04-01,18967,1.30741
1962-07-01,19126,1.20214
1962-10-01,19111,1.30043
1963-01-01,19257,1.22896
1963-04-01,19410,1.03684
1963-07-01,19761,1.36384
1963-10-01,19814,1.39346
1964-01-01,20169,1.48748
1964-04-01,20324,1.46288
1964-07-01,20567,1.07422
1964-10-01,20558,1.2661
1965-01-01,20997,1.16392
1965-04-01,21205,1.64622
1965-07-01,21604,1.71766
1965-10-01,22030,1.78457
1966-01-01,22510,2.41824
1966-04-01,22528,2.68868
1966-07-01,22650,3.27177
1966-10-01,22766,3.56955
1967-01-01,22911,2.87081
1967-04-01,22869,2.56675
1967-07-01,23020,2.70823
1967-10-01,23129,2.99037
1968-01-01,23551,3.74115
1968-04-01,23889,4.1206
1968-07-01,24009,4.47761
1968-10-01,24039,4.62598
1969-01-01,24365,4.87329
1969-04-01,24383,5.50193
1969-07-01,24475,5.52381
1969-10-01,24284,5.83255
1970-01-01,24189,6.22677
1970-04-01,24148,6.03843
1970-07-01,24288,5.68592
1970-10-01,23945,5.6
1971-01-01,24520,4.8119
1971-04-01,24581,4.31406
1971-07-01,24707,4.26985
1971-10-01,24689,3.53535
1972-01-01,25083,3.50584
1972-04-01,25592,3.22581
1972-07-01,25767,3.0303
1972-10-01,26129,3.33333
1973-01-01,26718,4.1129
1973-04-01,26949,5.60897
1973-07-01,26741,6.83625
1973-10-01,26929,8.41857
1974-01-01,26643,9.91479
1974-04-01,26649,10.54628
1974-07-01,26330,11.45833
1974-10-01,26160,12.04644
1975-01-01,25789,11.1346
1975-04-01,25911,9.54015
1975-07-01,26277,8.67824
1975-10-01,26562,7.38342
1976-01-01,27101,6.34115
1976-04-01,27242,6.01504
1976-07-01,27321,5.58968
1976-10-01,27446,5.18697
1977-01-01,27706,5.9034
1977-04-01,28177,6.79669
1977-07-01,28605,6.57359
1977-10-01,28525,6.59404
1978-01-01,28549,6.47523
1978-04-01,29577,7.02822
1978-07-01,29787,8.02402
1978-10-01,30100,8.92953
1979-01-01,30077,9.78318
1979-04-01,30031,10.75491
1979-07-01,30163,11.72309
1979-10-01,30145,12.64198
1980-01-01,30154,14.21002
1980-04-01,29451,14.42577
1980-07-01,29328,12.93532
1980-10-01,29794,12.53836
1981-01-01,30316,11.26107
1981-04-01,30023,9.87352
1981-07-01,30300,10.85302
1981-10-01,29892,9.58317
1982-01-01,29365,7.5815
1982-04-01,29434,6.9068
1982-07-01,29247,5.81647
1982-10-01,29186,4.44365
1983-01-01,29511,3.59408
1983-04-01,30120,3.29976
1983-07-01,30647,2.52646
